id_compra;fecha;producto;id_cliente;id_tienda;cantidad
0;2003-10-14;3336;539;48;4
0;2003-10-14;701;539;48;1
0;2003-10-14;2658;539;48;8
1;2021-04-15;3550;713;98;1
1;2021-04-15;2263;713;98;1
1;2021-04-15;2253;713;98;4
2;2002-05-08;999;406;6;6
2;2002-05-08;551;406;6;4
2;2002-05-08;3511;406;6;3
3;2014-05-12;77;697;32;8
3;2014-05-12;1882;697;32;3
3;2014-05-12;2494;697;32;6
4;2008-10-17;324;76;22;6
4;2008-10-17;2652;76;22;6
4;2008-10-17;2827;76;22;7
5;2003-07-04;2400;650;11;5
5;2003-07-04;1714;650;11;3
5;2003-07-04;1300;650;11;1
6;2018-08-05;1381;683;10;8
6;2018-08-05;1734;683;10;8
6;2018-08-05;2928;683;10;8
7;2022-08-21;2327;153;3;4
7;2022-08-21;717;153;3;8
7;2022-08-21;3385;153;3;2
8;2013-04-19;36;167;88;1
8;2013-04-19;2544;167;88;2
8;2013-04-19;3312;167;88;4
9;2000-07-03;206;298;59;7
9;2000-07-03;471;298;59;4
9;2000-07-03;3423;298;59;7
10;2009-04-23;3123;406;11;6
10;2009-04-23;1440;406;11;8
10;2009-04-23;2587;406;11;6
11;2018-05-16;1497;43;51;8
11;2018-05-16;428;43;51;3
11;2018-05-16;86;43;51;8
12;2006-01-09;3479;497;66;6
12;2006-01-09;3119;497;66;5
12;2006-01-09;2436;497;66;2
13;2019-05-24;3079;458;47;4
13;2019-05-24;3565;458;47;7
13;2019-05-24;912;458;47;3
14;2004-09-27;1267;735;88;6
14;2004-09-27;2348;735;88;2
14;2004-09-27;2575;735;88;5
15;2009-10-01;2498;356;43;2
15;2009-10-01;1998;356;43;4
15;2009-10-01;2004;356;43;4
16;2014-12-01;3515;970;18;8
16;2014-12-01;1616;970;18;3
16;2014-12-01;1891;970;18;5
17;2002-11-20;3005;522;89;7
17;2002-11-20;60;522;89;3
17;2002-11-20;397;522;89;5
18;2007-07-15;2959;651;85;6
18;2007-07-15;3246;651;85;8
19;2000-10-27;1920;137;3;6
19;2000-10-27;2765;137;3;2
20;2004-10-07;619;87;28;2
20;2004-10-07;2943;87;28;7
21;2012-07-20;1855;481;98;8
21;2012-07-20;1065;481;98;8
22;2010-04-05;1150;269;69;1
