id;nombre;precio;numero_cajas;tipo;tamaño;color;descripcion;dimensiones;material;carga;frecuencia;potencia;tension
0;FREKVENS;212000;5;living;;;;4x1x6;Madera;29.0;;;
1;NORDVIKEN;796000;2;living;;;;3x5x2;Madera;38.0;;;
2;NORDVIKEN / NORDVIKEN;1676000;4;living;;;;10x5x1;Plastico;19.0;;;
3;STIG;55200;2;living;;;;4x9x10;Reciclado;30.0;;;
4;NORBERG;180000;1;living;;;;5x1x7;Organico;38.0;;;
5;INGOLF;276000;4;living;;;;6x4x6;Madera;30.0;;;
6;FRANKLIN;103200;2;living;;;;1x9x1;Plastico;43.0;;;
7;DALFRED;156000;4;living;;;;9x1x7;Plastico;18.0;;;
8;FRANKLIN;103200;3;living;;;;7x3x7;Plastico;29.0;;;
9;EKEDALEN / EKEDALEN;1740800;2;living;;;;1x1x7;Organico;12.0;;;
10;FRANKLIN;119200;3;living;;;;4x9x2;Madera;15.0;;;
11;INGOLF;316000;3;living;;;;7x4x6;Plastico;34.0;;;
12;NORRARYD;316000;5;living;;;;4x7x8;Reciclado;35.0;;;
13;FREKVENS;141600;2;living;;;;4x3x8;Reciclado;46.0;;;
14;EKEDALEN;276000;5;living;;;;10x10x6;Madera;50.0;;;
15;TOMMARYD;556000;2;living;;;;7x1x9;Organico;18.0;;;
16;HENRIKSDAL;316000;2;living;;;;7x10x5;Organico;4.0;;;
17;KULLABERG;112000;4;living;;;;4x4x10;Madera;16.0;;;
18;JANINGE;476000;2;living;;;;5x5x9;Reciclado;22.0;;;
19;FRANKLIN;119200;5;living;;;;7x3x8;Reciclado;26.0;;;
20;EKEDALEN;796000;4;living;;;;7x2x8;Reciclado;3.0;;;
21;RÅSKOG;140000;1;living;;;;3x3x6;Reciclado;31.0;;;
22;JANINGE;476000;5;living;;;;4x10x9;Madera;4.0;;;
23;EKEDALEN;636800;4;living;;;;2x6x3;Madera;38.0;;;
24;EKEDALEN;276000;4;living;;;;9x6x7;Plastico;43.0;;;
25;EKEDALEN;276000;1;living;;;;1x10x4;Plastico;26.0;;;
26;EKEDALEN;636800;2;living;;;;1x8x3;Organico;21.0;;;
27;HENRIKSDAL;556000;5;living;;;;8x10x9;Plastico;41.0;;;
