id_despacho,id_compra,fecha_entrega
211,211,2012-07-01
326,326,2001-02-18
430,430,2022-10-19
178,178,2015-11-24
324,324,2007-05-12
287,287,2010-01-18
359,359,2014-08-26
64,64,2010-08-09
399,399,2004-09-10
144,144,2011-07-24
201,201,2013-05-09
490,490,2019-11-13
122,122,2010-04-04
120,120,2002-08-02
149,149,2010-02-19
433,433,2015-02-02
177,177,2021-02-22
212,212,2004-12-22
414,414,2007-08-10
165,165,2019-12-23
357,357,2020-04-08
446,446,2007-07-10
169,169,2010-08-18
271,271,2010-08-28
282,282,2001-12-25
240,240,2011-08-11
220,220,2003-02-04
38,38,2007-09-29
21,21,2012-07-24
262,262,2005-12-27
44,44,2014-11-05
155,155,2017-10-03
434,434,2008-06-10
103,103,2012-03-22
272,272,2021-12-19
360,360,2018-12-03
229,229,2003-05-26
348,348,2002-01-17
15,15,2009-02-10
475,475,2019-03-30
499,499,2013-04-02
484,484,2005-05-08
105,105,2001-05-26
139,139,2007-09-04
101,101,2015-09-23
129,129,2005-10-11
320,320,2010-06-30
386,386,2005-02-04
216,216,2010-06-20
2,2,2002-10-05
81,81,2002-11-12
480,480,2020-12-23
365,365,2002-12-30
79,79,2022-10-30
481,481,2012-07-25
257,257,2004-06-19
58,58,2021-03-28
276,276,2018-05-11
300,300,2020-01-23
509,509,2005-01-19
26,26,2016-11-13
459,459,2013-01-02
189,189,2000-06-16
20,20,2004-08-10
59,59,2017-12-17
354,354,2002-09-15
465,465,2022-12-01
249,249,2019-12-07
368,368,2002-10-06
299,299,2004-02-04
516,516,2003-04-30
336,336,2005-11-04
87,87,2005-03-05
280,280,2020-02-25
393,393,2007-10-20
123,123,2018-11-19
61,61,2014-06-23
389,389,2017-01-25
264,264,2012-07-02
273,273,2001-03-11
82,82,2020-01-13
349,349,2015-02-15
476,476,2016-04-24
245,245,2016-03-02
417,417,2021-04-02
327,327,2007-11-07
213,213,2007-02-28
1,1,2021-04-19
218,218,2019-05-16
367,367,2000-07-02
508,508,2008-06-15
47,47,2019-04-11
335,335,2011-08-07
332,332,2016-03-06
306,306,2010-04-22
118,118,2018-02-02
41,41,2012-08-12
116,116,2013-12-19
422,422,2001-03-21
74,74,2004-08-15
281,281,2019-07-17
29,29,2006-02-26
140,140,2016-02-06
163,163,2003-05-17
405,405,2022-05-19
427,427,2020-03-27
164,164,2019-11-14
137,137,2019-12-11
391,391,2011-03-20
168,168,2016-10-27
342,342,2013-01-14
65,65,2012-06-18
70,70,2016-04-05
286,286,2008-03-11
301,301,2002-01-21
358,358,2020-11-05
228,228,2002-12-17
62,62,2012-12-05
175,175,2014-01-07
520,520,2010-06-23
463,463,2014-02-04
30,30,2001-03-29
14,14,2004-09-28
311,311,2010-04-03
179,179,2012-01-03
6,6,2018-07-08
406,406,2017-08-25
39,39,2019-01-15
13,13,2019-05-26
392,392,2021-12-07
390,390,2020-04-14
224,224,2006-01-15
396,396,2021-02-14
156,156,2016-02-19
364,364,2013-08-24
238,238,2022-11-09
317,317,2001-12-05
183,183,2017-11-10
295,295,2000-12-05
4,4,2008-10-21
46,46,2017-02-05
472,472,2007-12-06
337,337,2016-05-22
68,68,2016-12-13
98,98,2001-08-26
442,442,2015-09-09
235,235,2013-11-13
267,267,2011-03-25
205,205,2012-07-15
350,350,2009-09-25
419,419,2005-09-12
53,53,2018-01-26
355,355,2000-11-13
467,467,2000-06-06
17,17,2002-11-21
95,95,2009-08-15
32,32,2021-03-01
466,466,2001-04-22
92,92,2006-10-23
86,86,2014-03-05
147,147,2002-08-08
25,25,2017-09-22
244,244,2017-07-30
294,294,2011-10-09
461,461,2001-10-03
241,241,2015-11-12
308,308,2002-09-12
519,519,2015-09-13
279,279,2009-12-15
77,77,2010-08-26
91,91,2015-03-13
124,124,2012-04-13
495,495,2002-12-13
288,288,2013-06-01
443,443,2021-08-04
142,142,2022-07-29
296,296,2001-01-12
510,510,2016-08-09
254,254,2007-04-22
513,513,2007-09-05
119,119,2011-04-14
517,517,2000-02-02
54,54,2019-02-05
398,398,2010-06-15
251,251,2021-11-27
42,42,2009-10-21
60,60,2013-02-02
102,102,2007-07-30
494,494,2002-02-11
485,485,2004-03-25
230,230,2019-03-07
194,194,2014-03-05
309,309,2005-02-19
445,445,2020-09-30
7,7,2022-08-24
468,468,2017-04-15
176,176,2015-01-28
394,394,2019-09-18
344,344,2013-11-15
48,48,2018-03-13
192,192,2016-08-11
134,134,2019-06-02
197,197,2015-01-31
11,11,2018-05-19
456,456,2011-06-27
410,410,2017-12-01
363,363,2021-02-08
227,227,2013-10-17
269,269,2009-10-27
289,289,2015-04-28
370,370,2019-07-02
319,319,2004-06-20
69,69,2011-09-26
36,36,2005-01-01
255,255,2015-01-10
407,407,2008-06-26
330,330,2020-03-05
496,496,2021-06-22
514,514,2003-08-16
75,75,2013-10-27
435,435,2013-08-30
181,181,2005-11-15
376,376,2009-10-02
12,12,2006-12-01
469,469,2017-01-26
40,40,2001-03-06
305,305,2003-01-21
193,193,2016-06-11
366,366,2009-09-12
182,182,2006-07-13
450,450,2014-02-18
507,507,2000-08-26
138,138,2022-12-19
473,473,2000-04-10
415,415,2022-09-19
45,45,2007-08-29
483,483,2018-06-03
303,303,2022-06-04
260,260,2012-03-28
274,274,2006-04-03
511,511,2007-04-13
515,515,2019-11-13
100,100,2011-05-23
268,268,2015-12-20
374,374,2012-01-27
256,256,2009-04-03
214,214,2018-10-25
501,501,2020-11-07
215,215,2000-09-28
247,247,2019-05-26
18,18,2007-07-17
492,492,2022-10-29
444,444,2010-10-24
67,67,2019-10-29
261,261,2017-02-18
397,397,2005-01-24
167,167,2017-08-17
146,146,2004-01-06
8,8,2013-04-22
117,117,2003-12-25
34,34,2021-12-21
361,361,2017-02-26
382,382,2020-12-15
452,452,2011-04-27
78,78,2015-03-01
188,188,2002-09-01
150,150,2021-10-19
464,464,2001-09-07
458,458,2022-10-19
263,263,2002-01-16
160,160,2019-12-27
441,441,2019-07-27
284,284,2002-10-16
184,184,2008-09-17
454,454,2010-07-11
470,470,2010-03-14
22,22,2010-08-04
195,195,2018-01-05
375,375,2018-12-20
185,185,2005-07-09
266,266,2013-08-10
10,10,2009-04-28
318,318,2014-12-25
80,80,2006-12-02
24,24,2004-12-05
112,112,2003-11-28
313,313,2002-10-26
482,482,2011-05-08
416,416,2007-03-19
225,225,2004-06-05
439,439,2014-01-16
302,302,2005-05-18
90,90,2000-11-16
424,424,2022-09-26
402,402,2013-04-20
172,172,2021-09-01
351,351,2013-10-17
151,151,2006-05-12
131,131,2010-09-21
408,408,2014-07-13
203,203,2014-10-13
210,210,2001-05-06
293,293,2018-07-26
512,512,2000-09-18
322,322,2017-12-29
110,110,2009-10-01
71,71,2000-04-23
162,162,2015-07-05
426,426,2011-03-24
265,265,2022-03-31
207,207,2004-01-08
493,493,2011-12-31
253,253,2020-07-09
66,66,2013-02-24
369,369,2005-10-16
252,252,2000-08-19
199,199,2017-05-31
108,108,2014-05-17
57,57,2017-06-10
51,51,2002-04-03
478,478,2022-07-18
223,223,2016-02-16
258,258,2012-02-20
242,242,2012-04-23
152,152,2014-05-28
504,504,2019-09-12
449,449,2006-09-27
487,487,2013-04-10
489,489,2012-08-03
125,125,2016-11-23
316,316,2005-09-17
383,383,2016-06-11
126,126,2012-07-15
437,437,2012-08-17
347,347,2015-08-31
321,321,2018-10-02
310,310,2017-09-03
99,99,2000-10-23
312,312,2001-05-03
226,226,2009-08-13
206,206,2022-10-20
275,275,2012-04-10
491,491,2022-07-05
56,56,2004-11-28
270,270,2002-03-30
285,285,2019-05-01
31,31,2009-02-26
457,457,2020-09-10
166,166,2008-02-10
232,232,2006-12-14
143,143,2009-12-12
109,109,2001-07-04
353,353,2007-01-11
84,84,2001-06-20
345,345,2019-06-25
107,107,2021-11-20
277,277,2009-09-03
187,187,2021-11-26
217,217,2010-10-20
505,505,2013-11-18
141,141,2021-04-10
486,486,2016-08-27
236,236,2005-12-10
180,180,2011-07-12
409,409,2022-12-17
291,291,2000-05-17
209,209,2002-08-16
243,243,2016-01-29
290,290,2017-08-11
297,297,2006-03-03
106,106,2021-10-30
428,428,2001-07-22
413,413,2013-10-28
246,246,2020-05-27
298,298,2004-02-26
448,448,2011-10-04
462,462,2001-12-03
425,425,2005-07-08
52,52,2014-12-09
423,423,2005-01-01
488,488,2016-12-14
83,83,2019-10-03
173,173,2014-09-24
431,431,2012-03-05
158,158,2017-12-26
384,384,2002-12-27
33,33,2005-07-10
497,497,2007-02-22
0,0,2003-10-18
292,292,2009-04-27
157,157,2014-12-30
72,72,2010-07-29
436,436,2013-02-14
314,314,2013-09-28
121,121,2014-05-12
378,378,2001-09-25
85,85,2000-01-28
346,346,2017-04-10
471,471,2016-08-11
440,440,2007-05-18
153,153,2002-12-19
447,447,2001-05-06
371,371,2020-04-01
325,325,2005-09-10
186,186,2010-05-07
502,502,2014-09-23
148,148,2009-07-22
196,196,2007-03-09
239,239,2013-02-08
401,401,2019-02-15
455,455,2022-04-23
128,128,2020-02-14
341,341,2014-07-26
420,420,2004-12-23
202,202,2015-11-30
339,339,2020-01-05
334,334,2020-12-15
343,343,2005-02-27
115,115,2002-06-15
97,97,2017-12-04
373,373,2018-12-09
88,88,2007-01-09
219,219,2006-09-19
200,200,2019-02-17
104,104,2016-05-03
145,145,2011-10-13
55,55,2008-05-11
380,380,2018-09-05
477,477,2011-05-23
328,328,2002-10-05
73,73,2016-04-09
5,5,2003-08-07
28,28,2007-01-09
130,130,2003-12-14
395,395,2019-08-26
250,250,2013-06-10
453,453,2013-12-18
233,233,2001-11-10
278,278,2009-08-05
323,323,2016-02-13
135,135,2015-08-26
161,161,2010-03-24
3,3,2014-05-16
248,248,2021-04-02
237,237,2021-02-22
50,50,2018-06-06
132,132,2014-10-04
204,204,2001-09-01
174,174,2006-08-05
111,111,2000-07-31
412,412,2019-06-28
498,498,2012-01-17
503,503,2014-06-25
500,500,2021-03-31
283,283,2021-07-21
170,170,2020-07-12
518,518,2006-05-06
234,234,2001-07-16
356,356,2017-06-06
35,35,2010-05-05
208,208,2007-08-22
198,198,2017-02-23
340,340,2002-02-03
23,23,2003-09-06
259,259,2018-03-08
372,372,2021-02-19
307,307,2021-04-06
9,9,2000-06-07
474,474,2019-05-25
451,451,2011-06-25
362,362,2016-05-31
331,331,2009-07-25
418,418,2004-04-28
93,93,2018-11-28
231,231,2022-03-20
133,133,2005-10-22
377,377,2007-12-06
352,352,2020-02-04
338,338,2003-10-10
96,96,2013-04-05
222,222,2016-12-01
127,127,2014-06-12
63,63,2013-03-24
387,387,2020-07-12
385,385,2021-08-10
411,411,2013-02-19
460,460,2020-08-25
506,506,2001-09-21
76,76,2005-02-22
113,113,2017-01-28
49,49,2000-03-13
